Q64875522,[russische Kunstturnerin]
Q106603659,[deutscher Offizier, zuletzt General der Infanterie]
Q106603652,[deutscher Geologe und Verleger]
Q52157097,[deutsche Porträt-, Landschafts- und Stilllebenmalerin]
Q106604086,[deutscher Modeschöpfer]
Q85093357,[Schweizer Malerin und Illustratorin]
Q106604562,[deutscher Orgelbauer]
Q106605773,[bosnischer Fußballspieler]
Q11615487,[japanischer Kabuki- und Filmschauspieler]
Q4401377,[georgischer Politiker und Geschäftsmann]
Q106606178,[US-amerikanischer Filmproduzent]
Q106606409,[bulgarische Diplomatin und Botschafterin]
Q94762502,[deutscher Jurist und Verbandsfunktionär]
Q1976958,[kaiserlich-russischer Offizier, Maler, Schriftsteller und Illustrator]
Q105945787,[japanischer Fußballspieler]
Q86689084,[japanischer Fußballspieler]
Q106237860,[japanischer Fußballspieler]
Q98070860,[britische Kunstturnerin]
Q59208940,[brasilianischer Fußballspieler]
Q106608625,[Schweizer Juristin]
Q106608623,[Schweizer Rechtswissenschaftler]
Q101174008,[kirgisischer Fußballspieler]
Q106608620,[deutscher Jurist]
Q94859053,[Schweizer Literaturwissenschaftler und Schriftsteller]
Q106608957,[deutsche Gewerkschafterin]
Q95340334,[deutscher Historiker]
Q106611202,[ deutsche Juristin, Richterin und Gerichtspräsidentin]
Q95007901,[britischer Publizist]
Q18217388,[südafrikanischer Rechtsanwalt und UN-Diplomat]
Q95335489,[deutscher Wirtschaftswissenschaftler]
Q107165919,[Schweizer evangelischer Geistlicher und Hochschullehrer]
Q13360050,[französisch-schottischer evangelischer Geistlicher und Hochschullehrer]
Q106611211,[deutscher Ingenieur, Unternehmer und Wehrwirtschaftsführer]
Q99382819,[Schweizer evangelischer Geistlicher und Hochschullehrer]
Q2929885,[Schweizer evangelischer Geistlicher und Hochschullehrer]
Q94861692,[deutscher Archivar]
Q56290618,[australischer E-Sportler]
Q87834739,[österreichischer Slawist]
Q95478605,[österreichischer Slawist]
Q60178804,[britisch-kanadischer Ornithologe]
Q62415891,[kroatischer Slawist]
Q55683970,[deutscher Geograph, Geologe und Lehrer]
Q106612450,[ deutsche Lehrerin, Rektorin, Kommunalpolitikerin und Richterin am Verfassungsgerichtshof Rheinland-Pfalz]
Q42393941,[schwedische Philosophin]
Q106612794,[US-amerikanischer Historiker]
Q64875364,[israelischer Historiker]
Q106613264,[US-amerikanischer Ornithologe]
Q105580864,[US-amerikanische Dragqueen und Visagistin]
Q16642548,[russischer Physiker und Hochschullehrer]
Q106613248,[deutsche Handballspielerin und Handballtrainerin]
Q94810369,[deutscher Offizier, zuletzt Generalleutnant der Wehrmacht]
Q106613245,[deutscher Landschaftsmaler]
Q106614125,[deutscher Basketballspieler]
Q106613567,[deutscher Eisengießer, Modelleur, Graveur und Medailleur ]
Q27229280,[Schweizer Keramiker, Bildhauer und Plastiker]
Q106613562,[niederländischer Opernsänger (Charaktertenor)]
Q106613561,[deutscher Kapitän und Kap Hoornier]
Q95296149,[deutscher Bilderbuchillustrator, Maler, Zeichner und Autor]
Q106614185,[deutscher Maler]
Q106614123,[deutsche Benediktinerin, Äbtissin und Professorin für Soziologie]
Q11475966,[japanischer Journalist]
Q106626483,[deutscher Sachbuchautor ]
Q106620078,[deutscher Finanzjurist und Ministerialbeamter]
Q94878267,[Schweizer Romanist und Grammatiker]
